ac_number,region,party_grp,votes,total_ac,vote_pct,year
108,Kongu,NTK,6381,141102,4.522,2021
108,Kongu,Others,7633,141102,5.41,2021
109,Kongu,AIADMK,64496,138257,46.649,2021
109,Kongu,DMK,62551,138257,45.243,2021
109,Kongu,NOTA,1017,138257,0.736,2021
109,Kongu,NTK,7317,138257,5.292,2021
109,Kongu,Others,2876,138257,2.08,2021
110,Kongu,AIADMK,57715,135908,42.466,2021
110,Kongu,DMK,61820,135908,45.487,2021
110,Kongu,NOTA,1188,135908,0.874,2021
110,Kongu,NTK,7252,135908,5.336,2021
110,Kongu,Others,7933,135908,5.837,2021
111,Kongu,AIADMK,105231,225083,46.752,2021
111,Kongu,DMK,102775,225083,45.661,2021
111,Kongu,NOTA,2733,225083,1.214,2021
111,Kongu,NTK,10954,225083,4.867,2021
111,Kongu,Others,3390,225083,1.506,2021
112,Kongu,AIADMK,117284,212627,55.16,2021
112,Kongu,DMK,66382,212627,31.22,2021
112,Kongu,NOTA,2372,212627,1.116,2021
112,Kongu,NTK,13256,212627,6.234,2021
112,Kongu,Others,13333,212627,6.271,2021
113,Kongu,AIADMK,113384,238092,47.622,2021
113,Kongu,CPI,73282,238092,30.779,2021
113,Kongu,NOTA,2162,238092,0.908,2021
113,Kongu,NTK,23110,238092,9.706,2021
113,Kongu,Others,26154,238092,10.985,2021
114,Kongu,AIADMK,70826,174418,40.607,2021
114,Kongu,DMK,75535,174418,43.307,2021
114,Kongu,NOTA,1142,174418,0.655,2021
114,Kongu,NTK,12898,174418,7.395,2021
114,Kongu,Others,14017,174418,8.036,2021
115,Kongu,AIADMK,126903,261511,48.527,2021
115,Kongu,DMK,94212,261511,36.026,2021
115,Kongu,NOTA,1802,261511,0.689,2021
115,Kongu,NTK,20524,261511,7.848,2021
115,Kongu,Others,18070,261511,6.91,2021
116,Kongu,AIADMK,118968,241653,49.231,2021
116,Kongu,DMK,87036,241653,36.017,2021
116,Kongu,NOTA,2610,241653,1.08,2021
116,Kongu,NTK,14426,241653,5.97,2021
